timestamp,x,y,z,roll,pitch,yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.10,0.10,0.05,0.00,0.01,0.00,0.00
0.20,0.20,0.10,0.00,0.01,0.00,0.02
0.30,0.30,0.15,0.00,0.02,0.00,0.02
0.40,0.40,0.20,0.00,0.02,0.01,0.03
0.50,0.50,0.25,0.00,0.02,0.01,0.04
0.60,0.60,0.30,0.00,0.03,0.01,0.04
0.70,0.70,0.35,0.00,0.03,0.01,0.05
0.80,0.80,0.40,0.00,0.03,0.01,0.06
0.90,0.90,0.45,0.00,0.03,0.01,0.06
1.00,5.40,3.20,0.00,0.04,0.01,0.07
1.10,5.50,3.25,0.00,0.04,0.01,0.08
1.20,5.60,3.30,0.00,0.04,0.01,0.09
1.30,5.70,3.35,0.00,0.04,0.01,0.10
1.40,5.80,3.40,0.00,0.04,0.01,0.12
1.50,5.90,3.45,0.00,0.05,0.01,0.12
1.60,6.00,3.50,0.00,0.05,0.01,3.00
1.70,6.10,3.55,0.00,0.05,0.01,3.02
1.80,6.20,3.60,0.00,0.05,0.01,3.03
1.90,6.30,3.65,0.00,0.05,0.02,3.04
2.00,6.40,3.70,0.00,0.06,0.02,3.05
2.10,6.50,3.75,0.00,0.06,0.02,3.06
2.20,7.20,4.10,0.00,0.06,0.02,3.07
2.30,7.30,4.15,0.00,0.06,0.02,3.07
2.40,7.40,4.20,0.00,0.06,0.02,3.08
2.50,7.50,4.25,0.00,0.06,0.02,3.08
